geocode,Municipio,value
2500106,Água Branca,"0,30"
2500205,Aguiar,"0,13"
2500304,Alagoa Grande,"0,42"
2500403,Alagoa Nova,"0,44"
2500502,Alagoinha,"0,20"
2500536,Alcantil,"0,30"
2500577,Algodão de Jandaíra,"0,81"
2500601,Alhandra,"0,27"
2500734,Amparo,"0,32"
2500775,Aparecida,"0,37"
2500809,Araçagi,"0,18"
2500908,Arara,"0,26"
2501005,Araruna,"0,31"
2501104,Areia,"0,34"
2501153,Areia de Baraúnas,"0,00"
2501203,Areial,"0,55"
2501302,Aroeiras,"0,28"
2501351,Assunção,"0,38"
2501401,Baía da Traição,"0,24"
2501500,Bananeiras,"0,39"
2501534,Baraúna,"0,14"
2501609,Barra de Santa Rosa,"0,26"
2501575,Barra de Santana,"0,39"
2501708,Barra de São Miguel,"0,10"
2501807,Bayeux,"0,32"
2501906,Belém,"0,24"
2502003,Belém do Brejo do Cruz,"0,33"
2502052,Bernardino Batista,"1,00"
2502102,Boa Ventura,"0,34"
2502151,Boa Vista,"0,17"
2502201,Bom Jesus,"0,33"
2502300,Bom Sucesso,"0,24"
2502409,Bonito de Santa Fé,"0,46"
2502508,Boqueirão,"0,30"
2502706,Borborema,"0,23"
2502805,Brejo do Cruz,"0,27"
2502904,Brejo dos Santos,"0,10"
2503001,Caaporã,"0,28"
2503100,Cabaceiras,"0,48"
2503209,Cabedelo,"0,28"
2503308,Cachoeira dos Índios,"0,34"
2503407,Cacimba de Areia,"0,18"
2503506,Cacimba de Dentro,"0,51"
2503555,Cacimbas,"0,51"
2503605,Caiçara,"0,35"
2503704,Cajazeiras,"0,43"
2503753,Cajazeirinhas,"0,31"
2503803,Caldas Brandão,"0,30"
2503902,Camalaú,"0,25"
2504009,Campina Grande,"0,37"
2504033,Capim,"0,25"
2504074,Caraúbas,"0,37"
2504108,Carrapateira,"0,32"
2504157,Casserengue,"0,37"
2504207,Catingueira,"0,63"
2504306,Catolé do Rocha,"0,30"
2504355,Caturité,"0,45"
2504405,Conceição,"0,44"
2504504,Condado,"0,47"
2504603,Conde,"0,31"
2504702,Congo,"0,42"
2504801,Coremas,"0,40"
2504850,Coxixola,"0,00"
2504900,Cruz do Espírito Santo,"0,20"
2505006,Cubati,"0,34"
2505105,Cuité,"0,40"
2505238,Cuité de Mamanguape,"0,19"
2505204,Cuitegi,"0,19"
2505279,Curral de Cima,"0,34"
2505303,Curral Velho,"0,16"
2505352,Damião,"0,13"
2505402,Desterro,"0,35"
2505600,Diamante,"0,51"
2505709,Dona Inês,"0,36"
2505808,Duas Estradas,"0,45"
2505907,Emas,"0,10"
2506004,Esperança,"0,29"
2506103,Fagundes,"0,38"
2506202,Frei Martinho,"0,14"
2506251,Gado Bravo,"0,36"
2506301,Guarabira,"0,29"
2506400,Gurinhém,"0,28"
2506509,Gurjão,"0,10"
2506608,Ibiara,"0,35"
2502607,Igaracy,"0,35"
2506707,Imaculada,"0,34"
2506806,Ingá,"0,27"
2506905,Itabaiana,"0,17"
2507002,Itaporanga,"0,43"
2507101,Itapororoca,"0,36"
2507200,Itatuba,"0,27"
2507309,Jacaraú,"0,24"
2507408,Jericó,"0,31"
2507507,João Pessoa,"0,30"
2513653,Joca Claudino,"0,15"
2507606,Juarez Távora,"0,33"
2507705,Juazeirinho,"0,56"
2507804,Junco do Seridó,"0,34"
2507903,Juripiranga,"0,25"
2508000,Juru,"0,20"
2508109,Lagoa,"0,08"
2508208,Lagoa de Dentro,"0,35"
2508307,Lagoa Seca,"0,38"
2508406,Lastro,"0,18"
2508505,Livramento,"0,60"
2508554,Logradouro,"0,00"
2508604,Lucena,"0,29"
2508703,Mãe d'Água,"0,35"
2508802,Malta,"0,06"
2508901,Mamanguape,"0,29"
2509008,Manaíra,"0,32"
2509057,Marcação,"0,14"
2509107,Mari,"0,20"
2509156,Marizópolis,"0,29"
2509206,Massaranduba,"0,36"
2509305,Mataraca,"0,19"
2509339,Matinhas,"0,52"
2509370,Mato Grosso,"0,26"
2509396,Maturéia,"0,55"
2509404,Mogeiro,"0,38"
2509503,Montadas,"0,49"
2509602,Monte Horebe,"0,37"
2509701,Monteiro,"0,32"
2509800,Mulungu,"0,25"
2509909,Natuba,"0,33"
2510006,Nazarezinho,"0,45"
2510105,Nova Floresta,"0,30"
2510204,Nova Olinda,"0,48"
2510303,Nova Palmeira,"0,10"
2510402,Olho d'Água,"0,54"
2510501,Olivedos,"0,27"
2510600,Ouro Velho,"0,84"
2510659,Parari,"0,00"
2510709,Passagem,"0,38"
2510808,Patos,"0,38"
2510907,Paulista,"0,11"
2511004,Pedra Branca,"0,31"
2511103,Pedra Lavrada,"0,18"
2511202,Pedras de Fogo,"0,17"
2512721,Pedro Régis,"0,37"
2511301,Piancó,"0,34"
2511400,Picuí,"0,33"
2511509,Pilar,"0,31"
2511608,Pilões,"0,27"
2511707,Pilõezinhos,"0,15"
2511806,Pirpirituba,"0,24"
2511905,Pitimbu,"0,41"
2512002,Pocinhos,"0,29"
2512036,Poço Dantas,"0,52"
2512077,Poço de José de Moura,"0,55"
2512101,Pombal,"0,22"
2512200,Prata,"0,23"
2512309,Princesa Isabel,"0,38"
2512408,Puxinanã,"0,36"
2512507,Queimadas,"0,37"
2512606,Quixabá,"0,00"
2512705,Remígio,"0,29"
2512747,Riachão,"0,24"
2512754,Riachão do Bacamarte,"0,26"
2512762,Riachão do Poço,"0,29"
2512788,Riacho de Santo Antônio,"0,33"
2512804,Riacho dos Cavalos,"0,46"
2512903,Rio Tinto,"0,32"
2513000,Salgadinho,"0,29"
2513109,Salgado de São Félix,"0,52"
2513158,Santa Cecília,"0,23"
2513208,Santa Cruz,"0,69"
2513307,Santa Helena,"0,31"
2513356,Santa Inês,"0,33"
2513406,Santa Luzia,"0,36"
2513703,Santa Rita,"0,24"
2513802,Santa Teresinha,"0,07"
2513505,Santana de Mangueira,"0,25"
2513604,Santana dos Garrotes,"0,31"
2513851,Santo André,"0,14"
2513927,São Bentinho,"0,31"
2513901,São Bento,"0,33"
2513968,São Domingos,"0,23"
2513943,São Domingos do Cariri,"0,23"
2513984,São Francisco,"0,19"
2514008,São João do Cariri,"0,16"
2500700,São João do Rio do Peixe,"0,38"
2514107,São João do Tigre,"0,83"
2514206,São José da Lagoa Tapada,"0,30"
2514305,São José de Caiana,"0,51"
2514404,São José de Espinharas,"0,40"
2514503,São José de Piranhas,"0,38"
2514552,São José de Princesa,"0,34"
2514602,São José do Bonfim,"0,42"
2514651,São José do Brejo do Cruz,"0,00"
2514701,São José do Sabugi,"0,83"
2514800,São José dos Cordeiros,"0,35"
2514453,São José dos Ramos,"0,27"
2514909,São Mamede,"0,35"
2515005,São Miguel de Taipu,"0,13"
2515104,São Sebastião de Lagoa de Roça,"0,14"
2515203,São Sebastião do Umbuzeiro,"0,36"
2515401,São Vicente do Seridó,"0,58"
2515302,Sapé,"0,30"
2515500,Serra Branca,"0,41"
2515609,Serra da Raiz,"0,00"
2515708,Serra Grande,"0,81"
2515807,Serra Redonda,"0,18"
2515906,Serraria,"0,22"
2515930,Sertãozinho,"0,23"
2515971,Sobrado,"0,27"
2516003,Solânea,"0,49"
2516102,Soledade,"0,34"
2516151,Sossêgo,"0,40"
2516201,Sousa,"0,46"
2516300,Sumé,"0,49"
2516409,Tacima,"0,40"
2516508,Taperoá,"0,41"
2516607,Tavares,"0,42"
2516706,Teixeira,"0,50"
2516755,Tenório,"0,19"
2516805,Triunfo,"0,24"
2516904,Uiraúna,"0,28"
2517001,Umbuzeiro,"0,32"
2517100,Várzea,"0,54"
2517209,Vieirópolis,"0,25"
2505501,Vista Serrana,"0,19"
2517407,Zabelê,"0,34"
