geocode,Municipio,value
3502507,Aparecida,"0,00"
3503158,Arapeí,"0,00"
3503505,Areias,"0,00"
3504909,Bananal,"0,00"
3508504,Caçapava,"0,00"
3508603,Cachoeira Paulista,"0,00"
3509700,Campos do Jordão,"0,33"
3509957,Canas,"0,00"
3510500,Caraguatatuba,"0,33"
3513405,Cruzeiro,"0,00"
3513603,Cunha,"0,00"
3518404,Guaratinguetá,"0,00"
3520202,Igaratá,"0,00"
3520400,Ilhabela,"0,33"
3524402,Jacareí,"0,00"
3524907,Jambeiro,"0,00"
3526308,Lagoinha,"0,00"
3526605,Lavrinhas,"0,00"
3527207,Lorena,"0,33"
3531704,Monteiro Lobato,"0,00"
3532306,Natividade da Serra,"0,00"
3535606,Paraibuna,"0,00"
3538006,Pindamonhangaba,"0,00"
3538501,Piquete,"0,33"
3540754,Potim,"0,00"
3541901,Queluz,"0,00"
3542305,Redenção da Serra,"0,00"
3544301,Roseira,"0,00"
3546009,Santa Branca,"0,33"
3548203,Santo Antônio do Pinhal,"0,00"
3548609,São Bento do Sapucaí,"0,00"
3549607,São José do Barreiro,"0,00"
3549904,São José dos Campos,"0,67"
3550001,São Luís do Paraitinga,"0,00"
3550704,São Sebastião,"0,33"
3552007,Silveiras,"0,00"
3554102,Taubaté,"0,33"
3554805,Tremembé,"0,00"
3555406,Ubatuba,"1,00"
